timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-05T18:55:06+00:00,2019,8,5,19,0, 20.5,828.3, 47.7, 22.1, 46.9,1.21E-06,  276,-9.88E-10,293.0,-2.90E-07,-9.88E-10,-7.96E-10,-1.18E-09,-11.561,-3.311E-09,-3.18E-09,-3.44E-09,1.06E-11,1.43E-10,-1.22E-10,-4.933,-1.544,-1.243,-1.844,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-05T19:55:21+00:00,2019,8,5,20,1, 18.4,831.0, 50.6, 49.9, 50.8,1.15E-06,  268,2.72E-10,278.0,7.57E-08,2.72E-10,3.39E-10,2.05E-10,0.446,-4.834E-10,-4.35E-10,-5.31E-10,3.62E-12,5.16E-11,-4.44E-11,0.716,0.425,0.530,0.321,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-05T20:55:21+00:00,2019,8,5,21,2, 16.2,835.0, 57.2, 56.4, 57.3,1.13E-06,  268,8.00E-10,278.0,2.22E-07,7.49E-10,7.76E-10,7.23E-10,0.910,8.002E-10,8.27E-10,7.74E-10,-2.43E-13,2.62E-11,-2.67E-11,0.911,1.250,1.291,1.208,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-05T21:55:21+00:00,2019,8,5,22,3, 15.8,835.5, 64.2, 65.0, 64.3,1.15E-06,  275,9.94E-10,278.0,2.76E-07,8.27E-10,8.49E-10,8.05E-10,0.947,9.939E-10,1.01E-09,9.74E-10,-7.99E-13,1.86E-11,-2.02E-11,0.958,1.552,1.583,1.522,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-05T22:55:21+00:00,2019,8,5,23,4, 15.6,835.0, 67.3, 67.1, 67.2,1.29E-06,  288,1.17E-10,278.0,3.26E-08,1.17E-10,1.96E-10,3.81E-11,0.085,-8.594E-10,-8.08E-10,-9.11E-10,4.68E-12,5.60E-11,-4.66E-11,0.617,0.183,0.307,0.060,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-05T23:55:21+00:00,2019,8,6,0,5, 14.7,836.1, 70.1, 70.8, 69.6,1.31E-06,  307,7.28E-10,278.0,2.02E-07,7.28E-10,7.57E-10,6.98E-10,0.914,6.159E-10,6.44E-10,5.87E-10,5.35E-13,2.91E-11,-2.81E-11,0.918,1.136,1.182,1.090,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-06T00:55:21+00:00,2019,8,6,1,6, 14.0,836.8, 73.1, 74.2, 72.7,1.51E-06,  363,1.30E-09,278.0,3.63E-07,8.51E-10,8.89E-10,8.13E-10,0.786,1.305E-09,1.33E-09,1.28E-09,-2.17E-12,2.38E-11,-2.81E-11,0.902,2.037,2.078,1.997,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-06T01:55:21+00:00,2019,8,6,2,7, 13.2,837.8, 76.8, 78.3, 76.0,1.69E-06,  385,4.46E-10,278.0,1.24E-07,4.46E-10,4.92E-10,4.00E-10,0.738,2.266E-11,6.09E-11,-1.56E-11,2.03E-12,4.03E-11,-3.62E-11,0.822,0.697,0.769,0.624,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-06T02:55:21+00:00,2019,8,6,3,8, 12.7,838.3, 79.3, 80.6, 78.7,1.68E-06,  412,1.29E-09,278.0,3.60E-07,8.64E-10,9.21E-10,8.07E-10,0.308,1.293E-09,1.34E-09,1.24E-09,-2.05E-12,4.82E-11,-5.23E-11,0.459,2.020,2.098,1.941,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
2019-08-06T03:55:21+00:00,2019,8,6,4,9, 12.4,839.0, 80.3, 81.4, 79.7,1.87E-06,  432,4.14E-10,278.0,1.15E-07,4.14E-10,4.61E-10,3.67E-10,0.718,-1.244E-10,-9.13E-11,-1.57E-10,2.58E-12,3.57E-11,-3.05E-11,0.860,0.647,0.720,0.574,0000,data/avgP/NMWC_OM3.csv,2758,145.5,MWC,Northern,Termite Soil,3
