timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-03T18:55:06,2019,8,3,19,0, 17.8,830.1, 70.0,1.02E-06,  293,2.22E-09,293,6.51E-07,1.30E-09,1.38E-09,1.21E-09,0.084,2.222E-09,2.29E-09,2.16E-09,-4.19E-12,5.97E-11,-6.81E-11,0.479,3.470,3.570,3.370,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T09:55:21,2019,8,4,10,15, 26.0,821.1, 36.0,1.41E-06,  326,-9.70E-10,278,-2.70E-07,-9.70E-10,-8.44E-10,-1.10E-09,-10.701,-2.428E-09,-2.34E-09,-2.52E-09,6.98E-12,9.46E-11,-8.06E-11,-4.676,-1.514,-1.318,-1.710,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T10:55:21,2019,8,4,11,16, 28.9,816.7, 42.7,1.33E-06,  310,-6.41E-10,278,-1.78E-07,-6.41E-10,-5.02E-10,-7.80E-10,-3.307,-2.275E-09,-2.18E-09,-2.37E-09,7.82E-12,1.04E-10,-8.81E-11,-1.040,-1.001,-0.784,-1.218,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T11:55:21,2019,8,4,12,17, 30.3,814.2, 45.3,1.17E-06,  288,8.09E-11,278,2.25E-08,8.09E-11,1.60E-10,1.77E-12,0.037,-6.171E-10,-5.51E-10,-6.84E-10,3.34E-12,6.98E-11,-6.32E-11,0.322,0.126,0.250,0.003,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T12:55:21,2019,8,4,13,18, 31.5,811.7, 44.3,1.31E-06,  312,-7.58E-10,278,-2.11E-07,-7.58E-10,-6.26E-10,-8.89E-10,-5.128,-2.192E-09,-2.09E-09,-2.29E-09,6.87E-12,1.04E-10,-9.08E-11,-2.355,-1.183,-0.977,-1.389,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T13:55:21,2019,8,4,14,19, 32.5,809.4, 39.8,1.04E-06,  257,5.31E-10,278,1.47E-07,5.14E-10,5.53E-10,4.76E-10,0.649,5.305E-10,5.69E-10,4.92E-10,-7.74E-14,3.84E-11,-3.85E-11,0.649,0.829,0.889,0.768,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T14:55:21,2019,8,4,15,20, 34.7,806.0, 32.9,9.48E-07,  266,8.75E-10,278,2.43E-07,5.20E-10,5.82E-10,4.57E-10,0.113,8.752E-10,9.34E-10,8.17E-10,-1.70E-12,5.67E-11,-6.01E-11,0.223,1.367,1.458,1.275,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T15:55:21,2019,8,4,16,21, 37.8,801.2, 23.6,6.88E-07,  217,2.86E-09,278,7.95E-07,1.38E-09,1.51E-09,1.25E-09,-2.067,2.859E-09,2.95E-09,2.77E-09,-7.06E-12,8.66E-11,-1.01E-10,-0.573,4.464,4.611,4.318,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T16:55:21,2019,8,4,17,22, 37.0,802.3, 21.4,1.02E-06,  223,-1.06E-10,278,-2.94E-08,-1.06E-10,-1.24E-11,-1.99E-10,-0.568,-9.629E-10,-8.86E-10,-1.04E-09,4.10E-12,8.13E-11,-7.31E-11,-0.065,-0.165,-0.019,-0.311,0010,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T17:55:21,2019,8,4,18,23, 27.6,815.7, 35.4,1.01E-06,  245,7.22E-10,278,2.01E-07,3.79E-10,4.23E-10,3.36E-10,-0.026,7.215E-10,7.59E-10,6.84E-10,-1.64E-12,3.60E-11,-3.93E-11,0.221,1.127,1.186,1.068,0000,data/NMWC OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
