timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2001-01-08T01:55:06+00:00,2001,1,8,2,0, 34.4,821.5, 38.7, 43.1, 38.6,9.70E-07,  218,9.05E-09,293.0,2.65E-06,6.33E-09,6.52E-09,6.14E-09,0.924,9.054E-09,9.16E-09,8.95E-09,-1.24E-11,8.98E-11,-1.15E-10,0.979,14.139,14.299,13.979,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T02:55:21+00:00,2001,1,8,3,1, 32.3,821.5, 34.3, 34.5, 34.3,6.73E-07,  203,1.01E-08,278.0,2.81E-06,5.18E-09,5.49E-09,4.87E-09,0.537,1.012E-08,1.02E-08,1.01E-08,-2.36E-11,4.56E-11,-9.28E-11,0.977,15.804,15.912,15.696,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T03:55:21+00:00,2001,1,8,4,2, 32.1,821.5, 31.7, 31.8, 31.6,8.02E-07,  197,2.25E-09,278.0,6.26E-07,2.25E-09,2.33E-09,2.18E-09,0.919,2.096E-09,2.17E-09,2.02E-09,7.49E-13,7.40E-11,-7.25E-11,0.920,3.518,3.633,3.403,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T04:55:21+00:00,2001,1,8,5,3, 31.3,821.5, 29.5, 29.6, 29.5,7.27E-07,  188,8.72E-09,278.0,2.42E-06,5.71E-09,5.91E-09,5.51E-09,0.858,8.720E-09,8.80E-09,8.64E-09,-1.44E-11,6.40E-11,-9.28E-11,0.979,13.617,13.740,13.495,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T05:55:21+00:00,2001,1,8,6,4, 30.9,821.5, 28.2, 28.2, 28.2,8.82E-07,  221,8.07E-09,278.0,2.24E-06,8.07E-09,8.21E-09,7.93E-09,0.981,6.579E-09,6.69E-09,6.47E-09,7.14E-12,1.18E-10,-1.03E-10,0.989,12.604,12.828,12.379,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T06:55:21+00:00,2001,1,8,7,5, 28.1,821.5, 27.3, 27.3, 27.3,9.48E-07,  233,6.62E-09,278.0,1.84E-06,6.62E-09,6.81E-09,6.43E-09,0.959,4.326E-09,4.45E-09,4.20E-09,1.10E-11,1.37E-10,-1.15E-10,0.982,10.346,10.642,10.049,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T07:55:21+00:00,2001,1,8,8,6, 32.9,821.5, 26.8, 26.6, 26.7,8.08E-07,  221,4.91E-09,278.0,1.36E-06,4.91E-09,5.09E-09,4.73E-09,0.935,2.163E-09,2.22E-09,2.10E-09,1.31E-11,7.27E-11,-4.64E-11,0.993,7.666,7.946,7.385,0010,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T08:55:21+00:00,2001,1,8,9,7, 24.2,821.5, 25.9, 25.9, 25.9,7.84E-07,  212,4.42E-09,278.0,1.23E-06,4.42E-09,4.51E-09,4.34E-09,0.969,4.274E-09,4.36E-09,4.19E-09,7.22E-13,8.73E-11,-8.59E-11,0.970,6.910,7.046,6.774,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T09:55:21+00:00,2001,1,8,10,8, 18.9,821.5, 26.3, 26.2, 26.4,9.43E-07,  226,2.78E-09,278.0,7.73E-07,2.14E-09,2.18E-09,2.09E-09,0.959,2.782E-09,2.80E-09,2.76E-09,-3.09E-12,1.97E-11,-2.58E-11,0.990,4.344,4.380,4.309,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T10:55:21+00:00,2001,1,8,11,9, 16.4,821.5, 27.4, 27.3, 27.4,1.37E-06,  333,1.88E-09,278.0,5.24E-07,1.63E-09,1.66E-09,1.59E-09,0.958,1.884E-09,1.92E-09,1.85E-09,-1.23E-12,3.30E-11,-3.55E-11,0.965,2.942,2.995,2.888,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T11:55:21+00:00,2001,1,8,12,10, 17.3,821.5, 29.1, 28.9, 29.2,1.23E-06,  319,3.64E-09,278.0,1.01E-06,2.35E-09,2.46E-09,2.24E-09,0.663,3.641E-09,3.72E-09,3.56E-09,-6.20E-12,7.01E-11,-8.25E-11,0.839,5.685,5.805,5.566,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
2001-01-08T12:55:21+00:00,2001,1,8,13,11, 18.0,821.5, 30.9, 30.8, 31.0,1.27E-06,  306,3.68E-09,278.0,1.02E-06,3.24E-09,3.28E-09,3.20E-09,0.988,3.678E-09,3.71E-09,3.65E-09,-2.10E-12,2.80E-11,-3.22E-11,0.993,5.744,5.791,5.697,0000,data/avgP/NMWC_UT2.csv,2758,145.5,MWC,Northern,Under Tree,2
