timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-05T19:52:52,2019,8,5,20,0, 17.5,830.0, 71.5,1.81E-06,  439,-9.36E-10,293.0,-2.74E-07,-9.36E-10,-7.26E-10,-1.15E-09,-6.306,-3.321E-09,-3.17E-09,-3.47E-09,1.08E-11,1.64E-10,-1.43E-10,-2.890,-1.462,-1.134,-1.790,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T08:53:07,2019,8,6,9,13, 22.1,826.5, 55.9,1.86E-06,  479,5.30E-10,278.0,1.47E-07,1.90E-10,2.37E-10,1.43E-10,-0.476,5.305E-10,5.73E-10,4.88E-10,-1.63E-12,4.07E-11,-4.40E-11,-0.183,0.828,0.895,0.762,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T09:53:07,2019,8,6,10,14, 29.0,816.5, 39.5,1.46E-06,  359,4.68E-10,278.0,1.30E-07,2.70E-10,3.21E-10,2.20E-10,0.390,4.675E-10,5.17E-10,4.18E-10,-9.44E-13,4.83E-11,-5.02E-11,0.425,0.730,0.807,0.653,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T10:53:07,2019,8,6,11,15, 32.8,811.1, 38.2,1.37E-06,  327,-1.84E-10,278.0,-5.11E-08,-1.84E-10,-9.79E-11,-2.70E-10,-0.645,-7.737E-10,-6.96E-10,-8.52E-10,2.82E-12,8.08E-11,-7.51E-11,-0.349,-0.287,-0.153,-0.421,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T11:53:07,2019,8,6,12,16, 29.6,815.0, 42.2,1.31E-06,  319,1.90E-10,278.0,5.27E-08,1.90E-10,2.51E-10,1.29E-10,0.263,-1.690E-10,-1.12E-10,-2.26E-10,1.72E-12,5.86E-11,-5.52E-11,0.361,0.296,0.391,0.201,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T12:53:07,2019,8,6,13,17, 32.0,810.9, 35.7,1.38E-06,  324,-3.37E-10,278.0,-9.38E-08,-3.37E-10,-2.31E-10,-4.44E-10,-1.983,-1.725E-09,-1.66E-09,-1.79E-09,6.64E-12,6.98E-11,-5.65E-11,-0.047,-0.527,-0.361,-0.693,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T13:53:07,2019,8,6,14,18, 33.4,807.9, 36.6,1.36E-06,  332,-4.00E-10,278.0,-1.11E-07,-4.00E-10,-3.17E-10,-4.84E-10,-1.924,-1.169E-09,-1.10E-09,-1.24E-09,3.68E-12,7.26E-11,-6.52E-11,-0.979,-0.625,-0.494,-0.756,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T14:53:07,2019,8,6,15,19, 36.3,803.3, 32.3,1.24E-06,  337,4.17E-11,278.0,1.16E-08,4.17E-11,1.04E-10,-2.03E-11,-0.041,-9.252E-11,-3.09E-11,-1.54E-10,6.43E-13,6.22E-11,-6.09E-11,-0.022,0.065,0.162,-0.032,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T15:53:07,2019,8,6,16,20, 30.7,810.7, 37.6,1.03E-06,  299,3.71E-09,278.0,1.03E-06,1.80E-09,1.95E-09,1.64E-09,-1.787,3.707E-09,3.81E-09,3.61E-09,-9.14E-12,9.05E-11,-1.09E-10,-0.158,5.790,5.945,5.634,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
2019-08-06T16:53:07,2019,8,6,17,21, 26.2,817.2, 49.1,1.44E-06,  358,2.00E-10,278.0,5.56E-08,2.00E-10,2.50E-10,1.50E-10,0.329,3.215E-11,8.10E-11,-1.67E-11,8.03E-13,4.96E-11,-4.80E-11,0.358,0.312,0.390,0.234,0000,data/NMWC UT3.csv,2758,145.5,MWC,Northern,Under Tree,3
