timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-05T18:55:06+00:00,2019,8,5,19,0, 20.5,828.3, 55.0, 32.5, 55.8,1.03E-06,  249,3.12E-09,293.0,9.15E-07,3.05E-09,3.09E-09,3.01E-09,0.988,3.123E-09,3.16E-09,3.08E-09,-3.27E-13,3.91E-11,-3.97E-11,0.988,4.877,4.939,4.816,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-05T19:55:21+00:00,2019,8,5,20,1, 18.7,831.0, 56.3, 49.5, 58.0,1.05E-06,  242,5.81E-09,278.0,1.62E-06,4.20E-09,4.31E-09,4.08E-09,0.927,5.811E-09,5.86E-09,5.76E-09,-7.73E-12,4.55E-11,-6.10E-11,0.984,9.075,9.159,8.992,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-05T20:55:21+00:00,2019,8,5,21,2, 16.5,835.0, 63.1, 57.7, 64.5,1.04E-06,  255,4.11E-09,278.0,1.14E-06,2.79E-09,2.88E-09,2.70E-09,0.894,4.110E-09,4.15E-09,4.07E-09,-6.33E-12,3.07E-11,-4.33E-11,0.982,6.418,6.476,6.360,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-05T21:55:21+00:00,2019,8,5,22,3, 16.2,835.5, 66.8, 62.9, 68.0,6.34E-07,  140,5.88E-09,278.0,1.63E-06,3.11E-09,3.30E-09,2.92E-09,0.374,5.877E-09,5.96E-09,5.79E-09,-1.33E-11,6.96E-11,-9.61E-11,0.882,9.178,9.308,9.049,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-05T22:55:21+00:00,2019,8,5,23,4, 16.2,835.0, 68.3, 63.4, 69.3,1.81E-06,  426,1.00E-08,278.0,2.78E-06,7.26E-09,7.46E-09,7.07E-09,0.925,1.001E-08,1.01E-08,9.91E-09,-1.31E-11,8.45E-11,-1.11E-10,0.981,15.631,15.784,15.479,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-05T23:55:21+00:00,2019,8,6,0,5, 15.4,836.1, 70.8, 66.9, 71.9,4.43E-06, 1050,1.34E-08,278.0,3.73E-06,1.19E-08,1.20E-08,1.18E-08,0.992,1.342E-08,1.35E-08,1.33E-08,-7.33E-12,6.65E-11,-8.11E-11,0.997,20.958,21.074,20.843,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T12:55:21+00:00,2019,8,8,13,12, 32.8,809.7, 34.8, 28.0, 36.1,1.30E-06,  347,6.16E-09,278.0,1.71E-06,5.12E-09,5.23E-09,5.01E-09,0.959,6.157E-09,6.25E-09,6.07E-09,-4.97E-12,8.32E-11,-9.31E-11,0.973,9.616,9.753,9.478,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T13:55:21+00:00,2019,8,8,14,13, 33.9,808.4, 37.5, 28.2, 37.2,1.51E-06,  386,8.72E-09,278.0,2.42E-06,6.70E-09,6.84E-09,6.56E-09,0.963,8.719E-09,8.78E-09,8.66E-09,-9.66E-12,4.84E-11,-6.77E-11,0.993,13.617,13.707,13.526,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T14:55:21+00:00,2019,8,8,15,14, 31.3,811.0, 32.6, 29.0, 33.5,1.09E-06,  263,4.69E-09,278.0,1.30E-06,4.39E-09,4.47E-09,4.30E-09,0.976,4.691E-09,4.78E-09,4.61E-09,-1.47E-12,8.36E-11,-8.65E-11,0.977,7.326,7.459,7.194,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T15:55:21+00:00,2019,8,8,16,15, 33.4,804.2, 29.1, 22.2, 31.0,8.48E-07,  225,8.87E-09,278.0,2.46E-06,6.66E-09,6.82E-09,6.51E-09,0.950,8.867E-09,8.94E-09,8.79E-09,-1.06E-11,6.30E-11,-8.41E-11,0.989,13.847,13.962,13.732,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T16:55:21+00:00,2019,8,8,17,16, 25.8,809.9, 40.9, 37.0, 42.3,1.04E-06,  275,9.32E-09,278.0,2.59E-06,6.65E-09,6.83E-09,6.48E-09,0.932,9.319E-09,9.38E-09,9.26E-09,-1.28E-11,5.04E-11,-7.59E-11,0.991,14.554,14.653,14.455,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T17:55:21+00:00,2019,8,8,18,17, 22.4,821.4, 50.9, 45.9, 51.9,1.66E-06,  437,1.09E-08,278.0,3.03E-06,7.65E-09,7.88E-09,7.41E-09,0.897,1.091E-08,1.10E-08,1.08E-08,-1.56E-11,1.04E-10,-1.35E-10,0.973,17.044,17.231,16.857,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T18:55:21+00:00,2019,8,8,19,18, 18.5,830.1, 58.9, 54.9, 59.8,1.87E-06,  445,8.67E-09,278.0,2.41E-06,6.46E-09,6.61E-09,6.31E-09,0.949,8.669E-09,8.73E-09,8.60E-09,-1.06E-11,5.48E-11,-7.60E-11,0.990,13.538,13.640,13.436,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T19:55:21+00:00,2019,8,8,20,19, 16.7,833.2, 64.7, 61.4, 65.4,2.51E-06,  599,8.20E-09,278.0,2.28E-06,6.08E-09,6.23E-09,5.93E-09,0.943,8.204E-09,8.27E-09,8.14E-09,-1.02E-11,5.64E-11,-7.67E-11,0.988,12.812,12.916,12.708,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T20:55:21+00:00,2019,8,8,21,20, 16.5,834.0, 67.6, 63.9, 68.5,2.72E-06,  655,8.86E-09,278.0,2.46E-06,6.34E-09,6.52E-09,6.17E-09,0.920,8.865E-09,8.95E-09,8.78E-09,-1.21E-11,7.25E-11,-9.66E-11,0.982,13.844,13.976,13.712,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T21:55:21+00:00,2019,8,8,22,21, 16.6,834.1, 66.9, 62.5, 67.9,2.00E-06,  485,8.11E-09,278.0,2.25E-06,5.71E-09,5.87E-09,5.55E-09,0.919,8.111E-09,8.18E-09,8.05E-09,-1.15E-11,5.36E-11,-7.65E-11,0.987,12.667,12.769,12.566,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T22:55:21+00:00,2019,8,8,23,22, 15.6,835.8, 70.8, 67.0, 71.6,2.69E-06,  663,1.16E-08,278.0,3.21E-06,8.34E-09,8.58E-09,8.09E-09,0.904,1.155E-08,1.17E-08,1.14E-08,-1.54E-11,1.30E-10,-1.61E-10,0.967,18.043,18.270,17.816,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-08T23:55:21+00:00,2019,8,9,0,23, 15.1,836.6, 73.0, 69.4, 73.8,5.30E-06, 1223,1.24E-08,278.0,3.45E-06,1.24E-08,1.24E-08,1.23E-08,0.997,1.241E-08,1.25E-08,1.23E-08,-2.74E-13,7.28E-11,-7.34E-11,0.997,19.380,19.495,19.266,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-09T07:55:21+00:00,2019,8,9,8,31, 18.9,835.4, 64.6, 61.6, 66.2,5.04E-06, 1245,-1.60E-09,278.0,-4.45E-07,-1.60E-09,-1.10E-09,-2.10E-09,-2.944,-8.347E-09,-8.07E-09,-8.62E-09,3.23E-11,3.09E-10,-2.45E-10,-0.205,-2.502,-1.721,-3.283,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-09T08:55:21+00:00,2019,8,9,9,32, 27.8,825.1, 39.3, 35.6, 41.9,9.28E-07,  232,5.72E-09,278.0,1.59E-06,3.79E-09,3.92E-09,3.66E-09,0.886,5.724E-09,5.77E-09,5.68E-09,-9.26E-12,3.52E-11,-5.38E-11,0.986,8.939,9.008,8.869,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-09T09:55:21+00:00,2019,8,9,10,33, 28.4,814.7, 38.3, 33.0, 40.5,9.00E-07,  227,2.03E-09,278.0,5.64E-07,2.03E-09,2.07E-09,1.99E-09,0.973,1.741E-09,1.78E-09,1.70E-09,1.39E-12,4.08E-11,-3.80E-11,0.978,3.171,3.238,3.103,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-09T11:56:17+00:00,2019,8,9,12,34, 36.7,803.8, 29.6, 19.9, 30.8,6.00E-07,  157,5.21E-09,278.0,1.45E-06,3.29E-09,3.42E-09,3.16E-09,0.807,5.206E-09,5.26E-09,5.15E-09,-9.18E-12,4.92E-11,-6.76E-11,0.962,8.131,8.222,8.039,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-09T12:56:17+00:00,2019,8,9,13,35, 36.1,804.0, 29.6, 22.2, 30.3,4.98E-07,  141,3.99E-09,278.0,1.11E-06,2.99E-09,3.08E-09,2.90E-09,0.910,3.990E-09,4.06E-09,3.92E-09,-4.79E-12,6.24E-11,-7.20E-11,0.951,6.232,6.336,6.127,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-09T13:56:17+00:00,2019,8,9,14,36, 40.9,800.6, 23.3, 17.2, 23.7,5.12E-07,  123,2.16E-09,278.0,6.01E-07,2.16E-09,2.22E-09,2.10E-09,0.955,2.150E-09,2.21E-09,2.09E-09,4.82E-14,5.91E-11,-5.90E-11,0.955,3.373,3.465,3.281,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
2019-08-09T14:56:17+00:00,2019,8,9,15,37, 40.5,797.0, 20.0, 13.8, 21.3,4.44E-07,  118,4.16E-09,278.0,1.16E-06,3.34E-09,3.43E-09,3.25E-09,0.946,4.158E-09,4.23E-09,4.08E-09,-3.92E-12,6.92E-11,-7.70E-11,0.963,6.494,6.608,6.379,0000,data/avgP/NO_OM2.csv,2758,145.5,O,Northern,Termite Soil,2
