timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-05T10:54:02,2019,8,5,11,0, 36.9,809.7, 34.0,8.89E-07,  263,-2.19E-09,357.0,-7.81E-07,-2.19E-09,-1.82E-09,-2.55E-09,-14.067,-6.485E-09,-6.31E-09,-6.66E-09,1.60E-11,1.88E-10,-1.56E-10,-2.390,-3.415,-2.850,-3.980,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T11:55:21,2019,8,5,12,1, 38.8,806.4, 33.4,3.72E-07,   68,-2.43E-10,278.0,-6.76E-08,-2.43E-10,-8.34E-11,-4.03E-10,-0.971,-2.031E-09,-1.91E-09,-2.15E-09,8.56E-12,1.24E-10,-1.07E-10,-0.032,-0.380,-0.130,-0.630,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T12:55:21,2019,8,5,13,2, 40.5,803.5, 30.6,3.10E-07,   29,7.50E-11,278.0,2.08E-08,7.50E-11,2.45E-10,-9.55E-11,-0.157,-1.962E-09,-1.85E-09,-2.08E-09,9.75E-12,1.25E-10,-1.06E-10,0.473,0.117,0.383,-0.149,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T13:55:21,2019,8,5,14,3, 42.1,800.6, 25.5,1.21E-07,   17,8.42E-10,278.0,2.34E-07,8.42E-10,9.08E-10,7.76E-10,0.585,7.940E-10,8.60E-10,7.28E-10,2.28E-13,6.64E-11,-6.59E-11,0.586,1.314,1.418,1.211,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T14:55:21,2019,8,5,15,4, 42.1,799.9, 22.0,2.07E-07,   35,2.33E-10,278.0,6.47E-08,2.33E-10,3.34E-10,1.31E-10,0.227,-7.832E-10,-7.03E-10,-8.64E-10,4.86E-12,8.53E-11,-7.55E-11,0.520,0.363,0.522,0.204,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T15:55:21,2019,8,5,16,5, 37.0,806.0, 24.3,4.94E-08,    0,6.56E-10,278.0,1.82E-07,6.56E-10,7.14E-10,5.98E-10,0.769,4.200E-12,4.56E-11,-3.72E-11,3.12E-12,4.46E-11,-3.83E-11,0.881,1.025,1.115,0.934,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T16:55:21,2019,8,5,17,6, 33.4,810.5, 31.6,6.71E-08,    0,4.05E-10,278.0,1.13E-07,4.05E-10,4.73E-10,3.37E-10,0.584,-4.815E-10,-4.41E-10,-5.22E-10,4.24E-12,4.46E-11,-3.61E-11,0.854,0.632,0.738,0.526,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T17:55:21,2019,8,5,18,7, 27.2,818.8, 40.6,0.00E+00,    0,6.41E-10,278.0,1.78E-07,6.41E-10,6.79E-10,6.03E-10,0.858,2.277E-10,2.56E-10,2.00E-10,1.98E-12,3.02E-11,-2.62E-11,0.922,1.001,1.060,0.941,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T18:55:21,2019,8,5,19,8, 20.3,828.3, 61.4,9.63E-09,    0,1.18E-09,278.0,3.29E-07,1.18E-09,1.22E-09,1.15E-09,0.924,1.173E-09,1.21E-09,1.14E-09,5.54E-14,3.64E-11,-3.63E-11,0.924,1.849,1.906,1.793,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T19:55:21,2019,8,5,20,9, 18.5,831.0, 62.9,0.00E+00,    0,1.06E-09,278.0,2.95E-07,1.06E-09,1.09E-09,1.03E-09,0.954,8.463E-10,8.73E-10,8.20E-10,1.02E-12,2.74E-11,-2.54E-11,0.963,1.656,1.702,1.610,0000,data/NO OS2.csv,2758,145.5,O,Northern,Open Soil,2
