timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-05T18:55:06+00:00,2019,8,5,19,0, 19.1,828.3, 64.2, 34.1, 65.7,9.78E-07,  212,1.82E-09,293.0,5.34E-07,9.81E-10,1.05E-09,9.17E-10,0.108,1.822E-09,1.86E-09,1.78E-09,-3.82E-12,3.56E-11,-4.33E-11,0.664,2.846,2.907,2.784,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-05T19:55:21+00:00,2019,8,5,20,1, 17.1,831.0, 68.3, 60.0, 70.5,1.08E-06,  241,3.85E-10,278.0,1.07E-07,3.85E-10,4.43E-10,3.27E-10,0.615,-1.957E-10,-1.50E-10,-2.41E-10,2.78E-12,4.85E-11,-4.29E-11,0.762,0.601,0.691,0.510,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-05T20:55:21+00:00,2019,8,5,21,2, 14.5,835.0, 77.2, 70.4, 78.4,1.22E-06,  300,3.28E-09,278.0,9.11E-07,1.84E-09,1.94E-09,1.74E-09,0.646,3.277E-09,3.31E-09,3.24E-09,-6.88E-12,2.84E-11,-4.22E-11,0.952,5.118,5.174,5.063,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-05T21:55:21+00:00,2019,8,5,22,3, 14.9,835.5, 77.7, 73.0, 79.2,1.27E-06,  299,1.98E-09,278.0,5.49E-07,1.37E-09,1.42E-09,1.32E-09,0.877,1.976E-09,2.01E-09,1.94E-09,-2.90E-12,3.50E-11,-4.08E-11,0.938,3.086,3.145,3.027,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-05T22:55:21+00:00,2019,8,5,23,4, 15.4,835.0, 75.2, 70.1, 76.6,1.30E-06,  297,6.92E-10,278.0,1.92E-07,6.92E-10,7.40E-10,6.44E-10,0.833,3.983E-10,4.43E-10,3.53E-10,1.41E-12,4.63E-11,-4.35E-11,0.856,1.081,1.156,1.005,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-05T23:55:21+00:00,2019,8,6,0,5, 14.6,836.1, 77.6, 73.0, 78.8,1.27E-06,  310,2.78E-09,278.0,7.73E-07,1.54E-09,1.63E-09,1.44E-09,0.366,2.782E-09,2.84E-09,2.73E-09,-5.97E-12,4.96E-11,-6.15E-11,0.784,4.345,4.432,4.258,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T00:55:21+00:00,2019,8,6,1,6, 14.0,836.8, 80.2, 76.2, 81.0,1.53E-06,  350,1.06E-09,278.0,2.95E-07,1.06E-09,1.11E-09,1.01E-09,0.898,8.892E-10,9.38E-10,8.40E-10,8.21E-13,4.97E-11,-4.81E-11,0.902,1.656,1.734,1.578,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T01:55:21+00:00,2019,8,6,2,7, 13.1,837.8, 83.0, 79.8, 83.5,1.70E-06,  379,1.93E-09,278.0,5.37E-07,1.28E-09,1.35E-09,1.22E-09,0.827,1.931E-09,1.99E-09,1.88E-09,-3.10E-12,5.21E-11,-5.83E-11,0.887,3.016,3.102,2.930,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T02:55:21+00:00,2019,8,6,3,8, 12.6,838.3, 84.4, 81.2, 84.9,1.76E-06,  419,2.72E-09,278.0,7.57E-07,1.78E-09,1.86E-09,1.70E-09,0.734,2.723E-09,2.78E-09,2.67E-09,-4.50E-12,4.98E-11,-5.88E-11,0.876,4.252,4.337,4.167,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T03:55:21+00:00,2019,8,6,4,9, 12.0,839.0, 85.3, 82.7, 85.6,1.89E-06,  419,1.04E-09,278.0,2.90E-07,1.04E-09,1.09E-09,9.99E-10,0.914,7.589E-10,8.01E-10,7.17E-10,1.37E-12,4.34E-11,-4.07E-11,0.927,1.631,1.702,1.560,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T04:55:21+00:00,2019,8,6,5,10, 11.9,839.7, 85.3, 83.3, 85.6,1.90E-06,  452,2.17E-09,278.0,6.04E-07,1.41E-09,1.47E-09,1.35E-09,0.849,2.171E-09,2.21E-09,2.14E-09,-3.64E-12,3.16E-11,-3.89E-11,0.946,3.390,3.445,3.335,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T05:55:21+00:00,2019,8,6,6,11, 11.8,840.4, 87.4, 85.8, 87.5,2.20E-06,  490,5.32E-10,278.0,1.48E-07,5.32E-10,6.04E-10,4.61E-10,0.670,-2.437E-10,-1.91E-10,-2.97E-10,3.72E-12,5.69E-11,-4.95E-11,0.818,0.831,0.943,0.720,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T06:55:21+00:00,2019,8,6,7,12, 12.2,840.4, 87.0, 85.5, 87.1,2.11E-06,  502,1.56E-09,278.0,4.34E-07,1.11E-09,1.17E-09,1.06E-09,0.814,1.563E-09,1.61E-09,1.52E-09,-2.15E-12,4.15E-11,-4.57E-11,0.868,2.441,2.509,2.373,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T07:55:21+00:00,2019,8,6,8,13, 15.1,836.1, 82.1, 80.8, 82.6,1.99E-06,  467,4.58E-10,278.0,1.27E-07,4.58E-10,5.34E-10,3.82E-10,0.583,-8.463E-11,-1.63E-11,-1.53E-10,2.60E-12,7.09E-11,-6.57E-11,0.665,0.716,0.834,0.597,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T08:55:21+00:00,2019,8,6,9,14, 18.9,828.5, 69.6, 66.5, 71.2,1.28E-06,  323,1.53E-09,278.0,4.26E-07,8.79E-10,9.38E-10,8.20E-10,0.522,1.533E-09,1.58E-09,1.49E-09,-3.13E-12,3.97E-11,-4.60E-11,0.747,2.394,2.461,2.327,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T09:55:21+00:00,2019,8,6,10,15, 29.1,816.8, 41.8, 34.4, 42.8,1.10E-06,  289,-1.01E-11,278.0,-2.81E-09,-1.01E-11,3.82E-11,-5.84E-11,-0.118,-4.302E-10,-3.89E-10,-4.71E-10,2.01E-12,4.28E-11,-3.88E-11,0.205,-0.016,0.060,-0.091,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T12:55:21+00:00,2019,8,6,13,18, 34.4,811.1, 31.4, 24.1, 33.5,1.14E-06,  266,-1.08E-09,278.0,-3.00E-07,-1.08E-09,-8.92E-10,-1.26E-09,-8.155,-3.477E-09,-3.36E-09,-3.59E-09,1.15E-11,1.24E-10,-1.01E-10,-2.335,-1.684,-1.393,-1.974,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T14:55:21+00:00,2019,8,6,15,20, 32.9,807.8, 33.5, 26.8, 35.0,7.90E-07,  225,1.45E-09,278.0,4.03E-07,5.36E-10,6.25E-10,4.47E-10,-1.491,1.451E-09,1.52E-09,1.38E-09,-4.38E-12,6.43E-11,-7.31E-11,-0.484,2.265,2.373,2.158,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T16:55:21+00:00,2019,8,6,17,22, 26.7,817.8, 44.2, 39.1, 45.7,7.63E-07,  216,1.00E-09,278.0,2.79E-07,4.39E-10,5.05E-10,3.74E-10,-1.247,1.003E-09,1.06E-09,9.47E-10,-2.70E-12,5.30E-11,-5.84E-11,-0.614,1.567,1.654,1.480,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T17:55:21+00:00,2019,8,6,18,23, 21.8,825.9, 56.6, 52.0, 57.8,9.58E-07,  236,8.28E-10,278.0,2.30E-07,8.28E-10,8.95E-10,7.61E-10,0.614,6.285E-10,6.95E-10,5.62E-10,9.55E-13,6.70E-11,-6.51E-11,0.627,1.293,1.398,1.188,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T18:55:21+00:00,2019,8,6,19,24, 17.2,832.7, 83.6, 77.1, 84.2,1.33E-06,  321,3.71E-09,278.0,1.03E-06,2.34E-09,2.44E-09,2.24E-09,0.785,3.709E-09,3.76E-09,3.66E-09,-6.55E-12,4.20E-11,-5.51E-11,0.947,5.793,5.869,5.717,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T19:55:21+00:00,2019,8,6,20,25, 16.3,833.9, 85.4, 83.0, 85.9,1.75E-06,  419,2.33E-09,278.0,6.48E-07,1.51E-09,1.58E-09,1.44E-09,0.803,2.332E-09,2.38E-09,2.28E-09,-3.94E-12,4.57E-11,-5.36E-11,0.904,3.641,3.719,3.564,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T20:55:21+00:00,2019,8,6,21,26, 16.1,834.2, 85.1, 82.2, 85.4,1.76E-06,  404,2.35E-09,278.0,6.54E-07,1.61E-09,1.67E-09,1.54E-09,0.874,2.354E-09,2.40E-09,2.31E-09,-3.58E-12,3.87E-11,-4.58E-11,0.943,3.676,3.742,3.610,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T21:55:21+00:00,2019,8,6,22,27, 16.5,834.2, 84.1, 80.7, 84.5,1.49E-06,  382,4.79E-09,278.0,1.33E-06,2.43E-09,2.60E-09,2.27E-09,-0.072,4.795E-09,4.88E-09,4.71E-09,-1.13E-11,7.46E-11,-9.72E-11,0.725,7.488,7.622,7.354,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T22:55:21+00:00,2019,8,6,23,28, 16.1,834.8, 83.8, 81.8, 83.8,1.91E-06,  465,2.89E-09,278.0,8.04E-07,1.94E-09,2.02E-09,1.86E-09,0.768,2.894E-09,2.95E-09,2.84E-09,-4.56E-12,5.39E-11,-6.30E-11,0.885,4.519,4.611,4.428,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
2019-08-06T23:55:21+00:00,2019,8,7,0,29, 14.0,836.9, 84.4, 80.6, 85.2,1.95E-06,  461,2.33E-09,278.0,6.48E-07,1.76E-09,1.83E-09,1.70E-09,0.886,2.332E-09,2.38E-09,2.28E-09,-2.72E-12,4.66E-11,-5.20E-11,0.925,3.642,3.719,3.565,0000,data/avgP/NO_OS3.csv,2758,145.5,O,Northern,Open Soil,3
