timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
1988-12-03T20:26:50,1988,12,3,20,0, 39.5,802.8, 28.0,1.52E-06,  425,5.99E-10,293.0,1.76E-07,5.99E-10,6.99E-10,4.99E-10,0.558,-6.463E-10,-5.80E-10,-7.12E-10,5.66E-12,7.18E-11,-6.04E-11,0.807,0.935,1.091,0.779,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-03T21:27:05,1988,12,3,21,1, 29.9,813.3, 52.9,1.76E-06,  410,1.72E-09,278.0,4.78E-07,1.72E-09,1.83E-09,1.61E-09,0.859,5.159E-10,6.00E-10,4.32E-10,5.77E-12,8.97E-11,-7.82E-11,0.921,2.688,2.863,2.513,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-03T22:27:05,1988,12,3,22,2, 26.7,817.2, 91.7,1.81E-06,  431,1.31E-09,278.0,3.65E-07,1.31E-09,1.47E-09,1.16E-09,0.718,-3.796E-10,-2.68E-10,-4.92E-10,8.11E-12,1.20E-10,-1.04E-10,0.850,2.052,2.291,1.813,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-03T23:27:05,1988,12,3,23,3, 33.9,807.3, 33.4,1.30E-06,  369,4.30E-09,278.0,1.20E-06,3.16E-09,3.27E-09,3.06E-09,0.865,4.301E-09,4.38E-09,4.22E-09,-5.44E-12,7.73E-11,-8.82E-11,0.922,6.717,6.846,6.588,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-04T00:27:05,1988,12,4,0,4, 22.8,822.8, 98.8,2.00E-06,  503,2.28E-09,278.0,6.34E-07,1.42E-09,1.50E-09,1.33E-09,0.379,2.282E-09,2.35E-09,2.21E-09,-4.15E-12,6.38E-11,-7.21E-11,0.618,3.564,3.670,3.458,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-04T01:27:05,1988,12,4,1,5, 21.6,824.6,100.0,2.29E-06,  559,1.53E-09,278.0,4.24E-07,1.10E-09,1.15E-09,1.05E-09,0.827,1.527E-09,1.57E-09,1.49E-09,-2.05E-12,3.90E-11,-4.31E-11,0.878,2.385,2.449,2.320,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-04T02:27:05,1988,12,4,2,6, 19.0,828.8,100.0,2.47E-06,  594,1.03E-09,278.0,2.87E-07,9.18E-10,9.64E-10,8.71E-10,0.873,1.032E-09,1.08E-09,9.86E-10,-5.49E-13,4.56E-11,-4.67E-11,0.876,1.612,1.684,1.540,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-04T03:27:05,1988,12,4,3,7, 19.0,829.6,100.0,2.59E-06,  622,7.83E-10,278.0,2.18E-07,7.83E-10,8.45E-10,7.21E-10,0.791,1.767E-10,2.26E-10,1.27E-10,2.90E-12,5.21E-11,-4.63E-11,0.868,1.223,1.320,1.127,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-04T04:27:05,1988,12,4,4,8, 19.0,830.0,100.0,2.36E-06,  548,7.48E-10,278.0,2.08E-07,7.48E-10,7.88E-10,7.08E-10,0.878,5.146E-10,5.52E-10,4.78E-10,1.12E-12,3.80E-11,-3.58E-11,0.894,1.168,1.230,1.106,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
1988-12-04T05:27:05,1988,12,4,5,9, 18.9,830.9,100.0,2.36E-06,  537,2.20E-10,278.0,6.13E-08,2.20E-10,3.09E-10,1.31E-10,0.258,-8.525E-10,-7.93E-10,-9.12E-10,5.14E-12,6.46E-11,-5.43E-11,0.670,0.344,0.483,0.205,0000,data/NO UT2.csv,2758,145.5,O,Northern,Under Tree,2
