timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-07T13:55:06,2019,8,7,14,0,41.6,801.7,29.1,6.01E-07,219,4.51E-09,293,1.32E-06,2.60E-09,2.78E-09,2.42E-09,-0.072,4.51E-09,4.65E-09,4.37E-09,-8.68E-12,1.29E-10,-1.46E-10,0.37,7.04,7.255,6.825,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T14:55:21,2019,8,7,15,1,34.5,810.4,30.8,8.20E-07,188,2.13E-09,278,5.91E-07,1.79E-09,1.88E-09,1.70E-09,0.827,2.13E-09,2.21E-09,2.04E-09,-1.60E-12,8.38E-11,-8.70E-11,0.837,3.321,3.455,3.188,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T15:55:21,2019,8,7,16,2,25,823,50.6,1.09E-06,250,1.74E-09,278,4.85E-07,1.74E-09,1.85E-09,1.64E-09,0.869,1.22E-09,1.31E-09,1.12E-09,2.53E-12,1.01E-10,-9.58E-11,0.882,2.724,2.886,2.563,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T16:55:21,2019,8,7,17,3,25.6,822.2,56.1,9.71E-07,238,1.79E-09,278,4.97E-07,1.50E-09,1.54E-09,1.45E-09,0.93,1.79E-09,1.83E-09,1.75E-09,-1.41E-12,3.90E-11,-4.18E-11,0.942,2.794,2.857,2.731,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T17:55:21,2019,8,7,18,4,31.5,814.3,36.5,8.09E-07,238,3.87E-09,278,1.08E-06,3.00E-09,3.11E-09,2.89E-09,0.854,3.87E-09,3.96E-09,3.77E-09,-4.16E-12,9.10E-11,-9.93E-11,0.889,6.041,6.19,5.893,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T18:55:21,2019,8,7,19,5,20.7,828.8,58.9,1.10E-06,255,2.95E-09,278,8.21E-07,2.68E-09,2.72E-09,2.63E-09,0.98,2.95E-09,3.00E-09,2.91E-09,-1.33E-12,4.15E-11,-4.42E-11,0.983,4.614,4.681,4.547,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T19:55:21,2019,8,7,20,6,18.3,832.3,67.4,9.28E-07,213,2.33E-09,278,6.48E-07,2.33E-09,2.37E-09,2.30E-09,0.986,2.18E-09,2.21E-09,2.14E-09,7.37E-13,3.40E-11,-3.25E-11,0.987,3.641,3.695,3.587,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T20:55:21,2019,8,7,21,7,17.9,833.3,71.4,1.20E-06,284,2.55E-09,278,7.10E-07,2.33E-09,2.37E-09,2.28E-09,0.975,2.55E-09,2.59E-09,2.51E-09,-1.09E-12,4.10E-11,-4.32E-11,0.978,3.987,4.053,3.921,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T21:55:21,2019,8,7,22,8,17,834.9,75.3,1.42E-06,322,2.46E-09,278,6.83E-07,2.46E-09,2.52E-09,2.40E-09,0.964,2.37E-09,2.43E-09,2.30E-09,4.34E-13,6.30E-11,-6.21E-11,0.964,3.838,3.936,3.74,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T22:55:21,2019,8,7,23,9,16.5,835.9,78.1,1.40E-06,339,4.30E-09,278,1.20E-06,3.07E-09,3.17E-09,2.98E-09,0.905,4.30E-09,4.35E-09,4.25E-09,-5.86E-12,4.79E-11,-5.96E-11,0.968,6.714,6.798,6.63,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-07T23:55:21,2019,8,8,0,10,16.3,835.9,80.6,1.42E-06,345,4.37E-09,278,1.22E-06,3.62E-09,3.68E-09,3.56E-09,0.978,4.37E-09,4.41E-09,4.34E-09,-3.63E-12,3.32E-11,-4.04E-11,0.991,6.83,6.888,6.773,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T00:55:21,2019,8,8,1,11,15.8,836.4,82.1,1.43E-06,351,4.38E-09,278,1.22E-06,3.65E-09,3.72E-09,3.59E-09,0.973,4.38E-09,4.43E-09,4.33E-09,-3.49E-12,4.33E-11,-5.02E-11,0.986,6.843,6.916,6.77,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T01:55:21,2019,8,8,2,12,15.5,836.5,83.8,1.60E-06,347,2.88E-09,278,8.01E-07,2.88E-09,2.95E-09,2.81E-09,0.971,2.75E-09,2.81E-09,2.68E-09,6.46E-13,6.58E-11,-6.45E-11,0.971,4.498,4.6,4.396,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T02:55:21,2019,8,8,3,13,15.1,836.7,84.3,1.62E-06,371,2.32E-09,278,6.46E-07,2.32E-09,2.38E-09,2.27E-09,0.97,1.92E-09,1.97E-09,1.87E-09,1.93E-12,4.96E-11,-4.58E-11,0.976,3.629,3.713,3.546,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T03:55:21,2019,8,8,4,14,14.5,837.6,83.4,1.70E-06,400,2.11E-09,278,5.85E-07,1.57E-09,1.64E-09,1.51E-09,0.878,2.11E-09,2.16E-09,2.05E-09,-2.56E-12,5.50E-11,-6.01E-11,0.908,3.289,3.379,3.199,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T04:55:21,2019,8,8,5,15,13.5,839.8,84.4,1.81E-06,437,1.02E-09,278,2.84E-07,1.02E-09,1.06E-09,9.82E-10,0.914,1.02E-09,1.06E-09,9.85E-10,-1.34E-14,3.74E-11,-3.74E-11,0.914,1.596,1.655,1.538,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T05:55:21,2019,8,8,6,16,16.3,836.2,83.3,1.49E-06,369,1.90E-09,278,5.29E-07,1.44E-09,1.51E-09,1.37E-09,0.758,1.90E-09,1.97E-09,1.84E-09,-2.24E-12,6.12E-11,-6.57E-11,0.799,2.972,3.071,2.873,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T06:55:21,2019,8,8,7,17,16.4,836.7,80.4,1.78E-06,437,1.43E-09,278,3.98E-07,1.19E-09,1.23E-09,1.15E-09,0.885,1.43E-09,1.47E-09,1.39E-09,-1.16E-12,3.93E-11,-4.16E-11,0.899,2.235,2.298,2.172,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T07:55:21,2019,8,8,8,18,19.8,832.6,77.2,1.74E-06,413,8.97E-10,278,2.49E-07,8.97E-10,9.79E-10,8.15E-10,0.779,-1.56E-10,-1.06E-10,-2.05E-10,5.04E-12,5.48E-11,-4.47E-11,0.919,1.401,1.529,1.273,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T08:55:21,2019,8,8,9,19,24.8,826.1,58.1,1.23E-06,297,5.99E-09,278,1.67E-06,3.92E-09,4.07E-09,3.77E-09,0.838,5.99E-09,6.07E-09,5.92E-09,-9.92E-12,6.34E-11,-8.32E-11,0.96,9.36,9.475,9.246,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T09:55:21,2019,8,8,10,20,30.2,819,43.1,8.54E-07,227,4.51E-09,278,1.25E-06,3.25E-09,3.35E-09,3.15E-09,0.908,4.51E-09,4.58E-09,4.45E-09,-6.04E-12,5.78E-11,-6.99E-11,0.963,7.047,7.147,6.947,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T10:55:21,2019,8,8,11,21,31.5,817,42.8,9.47E-07,235,2.69E-09,278,7.49E-07,2.69E-09,2.75E-09,2.63E-09,0.966,2.66E-09,2.72E-09,2.60E-09,1.40E-13,6.13E-11,-6.10E-11,0.966,4.205,4.301,4.11,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T11:55:21,2019,8,8,12,22,34.1,812.9,38.2,8.47E-07,237,3.43E-09,278,9.53E-07,2.90E-09,2.96E-09,2.84E-09,0.965,3.43E-09,3.48E-09,3.38E-09,-2.54E-12,4.73E-11,-5.24E-11,0.976,5.351,5.429,5.273,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T13:55:21,2019,8,8,14,23,36.2,808.8,36.6,8.64E-07,198,9.23E-10,278,2.57E-07,9.23E-10,1.06E-09,7.86E-10,0.629,-8.85E-10,-8.05E-10,-9.66E-10,8.66E-12,8.90E-11,-7.17E-11,0.874,1.442,1.656,1.227,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T14:55:21,2019,8,8,15,24,33.8,811.3,31.8,1.13E-06,233,5.34E-10,278,1.48E-07,5.34E-10,7.75E-10,2.93E-10,0.219,-2.38E-09,-2.22E-09,-2.54E-09,1.40E-11,1.74E-10,-1.46E-10,0.655,0.834,1.21,0.458,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T15:55:21,2019,8,8,16,25,38.1,805.1,27,7.19E-07,191,3.53E-09,278,9.82E-07,3.49E-09,3.57E-09,3.42E-09,0.972,3.53E-09,3.61E-09,3.46E-09,-1.86E-13,7.29E-11,-7.33E-11,0.972,5.517,5.631,5.403,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T16:55:21,2019,8,8,17,26,33.2,811.5,30.2,8.76E-07,212,4.09E-09,278,1.14E-06,4.09E-09,4.18E-09,4.01E-09,0.976,3.61E-09,3.69E-09,3.53E-09,2.32E-12,8.14E-11,-7.67E-11,0.979,6.391,6.523,6.26,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T17:55:21,2019,8,8,18,27,27.1,819.8,40.6,8.44E-07,226,6.70E-09,278,1.86E-06,5.77E-09,5.85E-09,5.69E-09,0.986,6.70E-09,6.75E-09,6.65E-09,-4.44E-12,4.70E-11,-5.59E-11,0.994,10.461,10.541,10.38,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T18:55:21,2019,8,8,19,28,19.3,830.7,58.5,1.11E-06,258,3.53E-09,278,9.81E-07,2.87E-09,2.92E-09,2.82E-09,0.974,3.53E-09,3.56E-09,3.49E-09,-3.15E-12,3.04E-11,-3.67E-11,0.989,5.509,5.562,5.457,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
2019-08-08T19:55:21,2019,8,8,20,29,17.2,833.9,66.4,7.61E-07,199,5.48E-09,278,1.52E-06,3.43E-09,3.58E-09,3.27E-09,0.674,5.48E-09,5.58E-09,5.39E-09,-9.85E-12,8.55E-11,-1.05E-10,0.883,8.564,8.713,8.415,0,data/NMWC OS3.csv,2758,145.5,MWC,Northern,Open Soil,3
