timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-05T18:55:06+00:00,2019,8,5,19,0, 20.1,828.3, 51.8, 24.9, 52.3,7.82E-07,  240,3.64E-09,293.0,1.07E-06,1.63E-09,1.80E-09,1.46E-09,-9.003,3.639E-09,3.76E-09,3.52E-09,-9.13E-12,1.12E-10,-1.30E-10,-4.004,5.683,5.872,5.494,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-05T19:55:21+00:00,2019,8,5,20,1, 18.3,831.0, 53.9, 49.2, 55.4,1.09E-06,  238,-1.16E-10,278.0,-3.22E-08,-1.16E-10,-2.24E-11,-2.09E-10,-0.830,-1.256E-09,-1.20E-09,-1.32E-09,5.46E-12,6.66E-11,-5.57E-11,0.215,-0.181,-0.035,-0.326,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-05T20:55:21+00:00,2019,8,5,21,2, 16.1,835.0, 61.1, 56.7, 62.5,1.07E-06,  254,8.09E-10,278.0,2.25E-07,7.55E-10,8.04E-10,7.06E-10,0.590,8.091E-10,8.58E-10,7.60E-10,-2.59E-13,4.86E-11,-4.91E-11,0.592,1.264,1.340,1.187,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-05T21:55:21+00:00,2019,8,5,22,3, 16.0,835.5, 64.9, 63.3, 65.1,1.18E-06,  271,4.98E-10,278.0,1.38E-07,4.98E-10,5.40E-10,4.55E-10,0.782,2.086E-10,2.47E-10,1.70E-10,1.38E-12,3.97E-11,-3.69E-11,0.821,0.777,0.843,0.711,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-05T22:55:21+00:00,2019,8,5,23,4, 15.9,835.0, 65.8, 63.9, 66.5,1.14E-06,  272,9.10E-10,278.0,2.53E-07,8.93E-10,9.30E-10,8.56E-10,0.898,9.095E-10,9.46E-10,8.73E-10,-7.92E-14,3.65E-11,-3.67E-11,0.899,1.420,1.478,1.363,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-05T23:55:21+00:00,2019,8,6,0,5, 15.1,836.1, 69.1, 67.2, 69.7,1.18E-06,  287,2.59E-09,278.0,7.20E-07,1.64E-09,1.71E-09,1.57E-09,0.765,2.589E-09,2.63E-09,2.55E-09,-4.52E-12,3.41E-11,-4.31E-11,0.929,4.044,4.104,3.984,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T00:55:21+00:00,2019,8,6,1,6, 14.5,836.8, 71.9, 70.3, 72.4,1.46E-06,  341,1.41E-09,278.0,3.93E-07,1.09E-09,1.13E-09,1.04E-09,0.850,1.414E-09,1.46E-09,1.37E-09,-1.57E-12,4.07E-11,-4.39E-11,0.878,2.209,2.275,2.143,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T01:55:21+00:00,2019,8,6,2,7, 13.6,837.8, 75.7, 74.3, 76.1,1.74E-06,  404,8.78E-10,278.0,2.44E-07,8.28E-10,8.66E-10,7.90E-10,0.884,8.779E-10,9.16E-10,8.40E-10,-2.38E-13,3.74E-11,-3.79E-11,0.885,1.371,1.430,1.312,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T02:55:21+00:00,2019,8,6,3,8, 13.2,838.3, 78.0, 76.6, 78.2,1.79E-06,  432,2.98E-09,278.0,8.29E-07,1.78E-09,1.88E-09,1.68E-09,0.430,2.984E-09,3.06E-09,2.91E-09,-5.76E-12,6.68E-11,-7.84E-11,0.722,4.659,4.773,4.546,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T03:55:21+00:00,2019,8,6,4,9, 12.8,839.0, 79.2, 77.7, 79.3,1.91E-06,  456,2.51E-09,278.0,6.98E-07,1.63E-09,1.70E-09,1.56E-09,0.795,2.510E-09,2.55E-09,2.47E-09,-4.19E-12,4.04E-11,-4.88E-11,0.917,3.919,3.989,3.850,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T04:55:21+00:00,2019,8,6,5,10, 12.5,839.7, 79.4, 78.3, 79.4,2.07E-06,  472,1.61E-09,278.0,4.48E-07,1.19E-09,1.24E-09,1.15E-09,0.888,1.610E-09,1.65E-09,1.57E-09,-1.99E-12,3.87E-11,-4.27E-11,0.920,2.514,2.578,2.451,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T05:55:21+00:00,2019,8,6,6,11, 12.4,840.4, 81.4, 80.8, 81.4,2.32E-06,  535,1.73E-09,278.0,4.80E-07,1.28E-09,1.33E-09,1.23E-09,0.876,1.727E-09,1.77E-09,1.69E-09,-2.14E-12,3.88E-11,-4.31E-11,0.915,2.697,2.761,2.633,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T06:55:21+00:00,2019,8,6,7,12, 12.4,840.4, 82.1, 81.6, 82.1,2.37E-06,  557,1.20E-09,278.0,3.33E-07,1.16E-09,1.21E-09,1.12E-09,0.926,1.198E-09,1.24E-09,1.16E-09,-1.63E-13,4.13E-11,-4.17E-11,0.927,1.871,1.936,1.807,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T07:55:21+00:00,2019,8,6,8,13, 17.6,836.1, 67.5, 64.9, 68.1,1.48E-06,  380,2.07E-09,278.0,5.76E-07,1.20E-09,1.29E-09,1.12E-09,0.406,2.073E-09,2.13E-09,2.01E-09,-4.16E-12,5.60E-11,-6.44E-11,0.669,3.237,3.331,3.143,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T08:55:21+00:00,2019,8,6,9,14, 23.5,828.5, 48.4, 47.4, 49.1,9.88E-07,  236,4.46E-09,278.0,1.24E-06,2.66E-09,2.79E-09,2.54E-09,0.799,4.461E-09,4.52E-09,4.40E-09,-8.61E-12,5.00E-11,-6.72E-11,0.956,6.967,7.059,6.875,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T09:55:21+00:00,2019,8,6,10,15, 30.2,816.8, 37.1, 30.3, 38.4,9.98E-07,  252,9.81E-10,278.0,2.73E-07,9.81E-10,1.04E-09,9.19E-10,0.787,8.378E-10,9.00E-10,7.76E-10,6.86E-13,6.24E-11,-6.10E-11,0.791,1.532,1.630,1.435,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T10:55:21+00:00,2019,8,6,11,16, 34.6,810.0, 32.7, 24.9, 34.1,1.06E-06,  279,3.75E-10,278.0,1.04E-07,3.75E-10,4.38E-10,3.11E-10,0.537,1.736E-10,2.36E-10,1.11E-10,9.62E-13,6.37E-11,-6.18E-11,0.554,0.585,0.685,0.485,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T11:55:21+00:00,2019,8,6,12,17, 30.7,816.4, 34.5, 27.8, 36.5,9.10E-07,  260,1.75E-09,278.0,4.86E-07,8.66E-10,9.59E-10,7.73E-10,-0.633,1.750E-09,1.82E-09,1.67E-09,-4.23E-12,7.07E-11,-7.91E-11,-0.065,2.733,2.850,2.616,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T12:55:21+00:00,2019,8,6,13,18, 33.7,811.1, 29.8, 25.0, 31.4,9.88E-07,  258,6.61E-10,278.0,1.84E-07,4.79E-10,5.28E-10,4.30E-10,0.415,6.614E-10,7.09E-10,6.14E-10,-8.72E-13,4.68E-11,-4.85E-11,0.446,1.033,1.107,0.959,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T13:55:21+00:00,2019,8,6,14,19, 34.7,805.1, 32.9, 23.7, 32.6,1.01E-06,  249,5.34E-10,278.0,1.48E-07,5.03E-10,5.61E-10,4.45E-10,0.549,5.338E-10,5.92E-10,4.76E-10,-1.48E-13,5.79E-11,-5.82E-11,0.549,0.834,0.924,0.743,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T14:55:21+00:00,2019,8,6,15,20, 30.9,807.8, 31.5, 27.5, 33.4,8.41E-07,  222,1.50E-09,278.0,4.16E-07,8.93E-10,9.68E-10,8.18E-10,0.387,1.495E-09,1.56E-09,1.43E-09,-2.88E-12,6.21E-11,-6.79E-11,0.539,2.335,2.437,2.234,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T15:55:21+00:00,2019,8,6,16,21, 30.1,811.6, 31.5, 26.8, 33.2,8.82E-07,  220,5.92E-10,278.0,1.65E-07,5.92E-10,6.47E-10,5.38E-10,0.740,2.132E-10,2.63E-10,1.64E-10,1.81E-12,5.13E-11,-4.77E-11,0.788,0.925,1.010,0.839,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T16:55:21+00:00,2019,8,6,17,22, 26.0,817.8, 40.4, 36.7, 41.8,9.65E-07,  239,4.63E-10,278.0,1.29E-07,4.63E-10,5.15E-10,4.11E-10,0.539,4.124E-10,4.64E-10,3.61E-10,2.43E-13,5.19E-11,-5.14E-11,0.540,0.723,0.804,0.643,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
2019-08-06T17:55:21+00:00,2019,8,6,18,23, 21.7,825.9, 51.5, 48.5, 52.2,7.62E-07,  202,3.02E-09,278.0,8.40E-07,1.61E-09,1.73E-09,1.49E-09,-0.359,3.020E-09,3.10E-09,2.94E-09,-6.76E-12,7.46E-11,-8.81E-11,0.369,4.716,4.843,4.589,0000,data/avgP/NMWC_OM2.csv,2758,145.5,MWC,Northern,Termite Soil,2
