timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-03T18:55:06+00:00,2019,8,3,19,0, 17.8,830.4, 69.5, 30.7, 72.7,1.02E-06,  293,2.09E-09,293,6.13E-07,1.25E-09,1.33E-09,1.17E-09,0.193,2.092E-09,2.15E-09,2.03E-09,-3.84E-12,5.64E-11,-6.41E-11,0.529,3.266,3.361,3.172,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T09:55:21+00:00,2019,8,4,10,15, 26.0,820.2, 35.7, 27.8, 39.5,1.40E-06,  326,-9.69E-10,278,-2.69E-07,-9.69E-10,-8.43E-10,-1.09E-09,-10.845,-2.429E-09,-2.34E-09,-2.52E-09,6.99E-12,9.44E-11,-8.04E-11,-4.726,-1.513,-1.317,-1.709,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T10:55:21+00:00,2019,8,4,11,16, 28.9,815.2, 42.3, 26.1, 42.9,1.32E-06,  310,-6.48E-10,278,-1.80E-07,-6.48E-10,-5.08E-10,-7.87E-10,-3.399,-2.293E-09,-2.20E-09,-2.39E-09,7.88E-12,1.03E-10,-8.77E-11,-1.060,-1.012,-0.794,-1.229,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T11:55:21+00:00,2019,8,4,12,17, 30.3,815.4, 44.9, 24.9, 48.0,1.17E-06,  288,6.40E-11,278,1.78E-08,6.40E-11,1.44E-10,-1.63E-11,-0.004,-6.604E-10,-5.94E-10,-7.27E-10,3.47E-12,7.02E-11,-6.33E-11,0.308,0.100,0.225,-0.025,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T12:55:21+00:00,2019,8,4,13,18, 31.5,815.4, 43.9, 23.7, 46.5,1.31E-06,  312,-7.73E-10,278,-2.15E-07,-7.73E-10,-6.40E-10,-9.07E-10,-5.347,-2.239E-09,-2.14E-09,-2.34E-09,7.02E-12,1.06E-10,-9.16E-11,-2.439,-1.208,-0.999,-1.417,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T13:55:21+00:00,2019,8,4,14,19, 32.5,808.7, 39.3, 21.7, 42.6,1.04E-06,  257,4.95E-10,278,1.38E-07,4.95E-10,5.33E-10,4.57E-10,0.652,4.865E-10,5.24E-10,4.49E-10,4.15E-14,3.79E-11,-3.78E-11,0.652,0.773,0.832,0.714,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T14:55:21+00:00,2019,8,4,15,20, 34.7,805.2, 32.5, 18.4, 35.1,9.43E-07,  266,8.35E-10,278,2.32E-07,5.02E-10,5.63E-10,4.40E-10,0.121,8.350E-10,8.93E-10,7.77E-10,-1.60E-12,5.61E-11,-5.93E-11,0.221,1.304,1.394,1.214,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T15:55:21+00:00,2019,8,4,16,21, 37.8,807.9, 23.2, 12.9, 26.9,6.94E-07,  217,2.82E-09,278,7.84E-07,1.36E-09,1.49E-09,1.23E-09,-2.162,2.820E-09,2.91E-09,2.73E-09,-6.99E-12,8.67E-11,-1.01E-10,-0.638,4.404,4.550,4.257,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T16:55:21+00:00,2019,8,4,17,22, 37.0,807.5, 21.1, 13.0, 25.2,1.03E-06,  223,-1.55E-10,278,-4.31E-08,-1.55E-10,-5.87E-11,-2.51E-10,-0.769,-1.056E-09,-9.77E-10,-1.13E-09,4.31E-12,8.30E-11,-7.43E-11,-0.177,-0.242,-0.092,-0.392,0010,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
2019-08-04T17:55:21+00:00,2019,8,4,18,23, 27.6,822.9, 34.9, 24.8, 40.7,1.02E-06,  245,6.84E-10,278,1.90E-07,3.57E-10,4.00E-10,3.15E-10,-0.040,6.843E-10,7.22E-10,6.47E-10,-1.56E-12,3.59E-11,-3.91E-11,0.195,1.069,1.127,1.010,0000,data/avgP/NMWC_OS1.csv,2758,145.5,MWC,Northern,Open Soil,1
