timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-06T18:55:06+00:00,2019,8,6,19,0, 16.7,832.7, 80.2, 53.2, 80.6,1.05E-06,  291,1.06E-08,293.0,3.10E-06,5.29E-09,5.70E-09,4.88E-09,-1.347,1.058E-08,1.08E-08,1.03E-08,-2.40E-11,2.37E-10,-2.85E-10,0.058,16.520,16.928,16.112,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-06T19:55:21+00:00,2019,8,6,20,1, 16.2,833.9, 82.4, 82.8, 82.0,2.63E-06,  607,9.98E-10,278.0,2.77E-07,9.98E-10,1.10E-09,8.97E-10,0.754,-8.657E-12,7.05E-11,-8.79E-11,4.82E-12,8.40E-11,-7.44E-11,0.848,1.558,1.716,1.401,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-06T20:55:21+00:00,2019,8,6,21,2, 16.1,834.2, 81.6, 81.1, 81.5,2.40E-06,  578,3.99E-09,278.0,1.11E-06,2.55E-09,2.66E-09,2.45E-09,0.795,3.986E-09,4.04E-09,3.93E-09,-6.86E-12,4.93E-11,-6.30E-11,0.941,6.226,6.313,6.138,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-06T21:55:21+00:00,2019,8,6,22,3, 16.7,834.2, 80.6, 79.9, 80.5,2.29E-06,  538,2.98E-09,278.0,8.28E-07,1.90E-09,1.99E-09,1.81E-09,0.678,2.979E-09,3.04E-09,2.92E-09,-5.17E-12,5.85E-11,-6.89E-11,0.847,4.653,4.752,4.553,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-06T22:55:21+00:00,2019,8,6,23,4, 16.8,834.8, 79.5, 78.6, 79.6,2.39E-06,  547,1.35E-09,278.0,3.75E-07,1.35E-09,1.40E-09,1.29E-09,0.920,1.082E-09,1.13E-09,1.03E-09,1.28E-12,5.38E-11,-5.12E-11,0.927,2.106,2.192,2.020,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-06T23:55:21+00:00,2019,8,7,0,5, 15.6,836.9, 80.7, 79.1, 80.9,2.53E-06,  579,1.10E-09,278.0,3.07E-07,1.10E-09,1.23E-09,9.81E-10,0.725,2.953E-11,1.33E-10,-7.40E-11,5.15E-12,1.09E-10,-9.84E-11,0.806,1.725,1.916,1.533,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-07T00:55:21+00:00,2019,8,7,1,6, 15.8,835.6, 81.2, 79.9, 81.3,2.29E-06,  563,5.32E-09,278.0,1.48E-06,3.24E-09,3.40E-09,3.08E-09,0.603,5.318E-09,5.42E-09,5.22E-09,-9.94E-12,8.80E-11,-1.08E-10,0.854,8.306,8.459,8.153,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-07T01:55:21+00:00,2019,8,7,2,7, 16.2,834.5, 80.5, 78.7, 80.6,2.34E-06,  580,4.43E-09,278.0,1.23E-06,2.84E-09,2.96E-09,2.72E-09,0.762,4.434E-09,4.50E-09,4.37E-09,-7.64E-12,5.98E-11,-7.51E-11,0.924,6.924,7.029,6.819,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-07T02:55:21+00:00,2019,8,7,3,8, 16.0,834.2, 81.8, 80.4, 81.8,2.86E-06,  676,2.80E-09,278.0,7.77E-07,2.46E-09,2.52E-09,2.40E-09,0.960,2.796E-09,2.86E-09,2.74E-09,-1.61E-12,5.82E-11,-6.14E-11,0.964,4.366,4.459,4.272,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
2019-08-07T03:55:21+00:00,2019,8,7,4,9, 15.9,834.4, 81.7, 80.7, 81.7,2.84E-06,  672,4.09E-09,278.0,1.14E-06,3.07E-09,3.15E-09,2.99E-09,0.937,4.094E-09,4.14E-09,4.04E-09,-4.93E-12,4.46E-11,-5.44E-11,0.976,6.394,6.471,6.317,0000,data/avgP/NO_OM1.csv,2758,145.5,O,Northern,Termite Soil,1
