timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2019-08-05T10:54:02+00:00,2019,8,5,11,0, 36.9,811.9, 33.9, 45.9, 36.9,8.84E-07,  263,-2.18E-09,357.0,-7.77E-07,-2.18E-09,-1.82E-09,-2.54E-09,-14.136,-6.457E-09,-6.29E-09,-6.63E-09,1.59E-11,1.87E-10,-1.55E-10,-2.407,-3.401,-2.838,-3.963,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T11:55:21+00:00,2019,8,5,12,1, 38.8,810.1, 33.0, 21.5, 34.6,3.71E-07,   68,-2.45E-10,278.0,-6.82E-08,-2.45E-10,-8.55E-11,-4.05E-10,-0.981,-2.033E-09,-1.92E-09,-2.15E-09,8.56E-12,1.24E-10,-1.07E-10,-0.035,-0.383,-0.133,-0.633,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T12:55:21+00:00,2019,8,5,13,2, 40.5,808.1, 30.3, 17.2, 31.8,3.10E-07,   29,7.22E-11,278.0,2.01E-08,7.22E-11,2.43E-10,-9.83E-11,-0.161,-1.966E-09,-1.85E-09,-2.08E-09,9.76E-12,1.25E-10,-1.05E-10,0.472,0.113,0.379,-0.153,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T13:55:21+00:00,2019,8,5,14,3, 42.1,803.3, 25.2, 15.0, 26.8,1.20E-07,   17,8.37E-10,278.0,2.33E-07,8.37E-10,9.03E-10,7.72E-10,0.587,7.867E-10,8.53E-10,7.21E-10,2.43E-13,6.61E-11,-6.56E-11,0.588,1.308,1.411,1.205,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T14:55:21+00:00,2019,8,5,15,4, 42.1,800.9, 21.8, 13.1, 23.9,2.06E-07,   35,2.30E-10,278.0,6.39E-08,2.30E-10,3.31E-10,1.28E-10,0.225,-7.832E-10,-7.03E-10,-8.63E-10,4.85E-12,8.49E-11,-7.52E-11,0.520,0.359,0.518,0.201,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T15:55:21+00:00,2019,8,5,16,5, 37.0,805.6, 24.0, 18.2, 26.9,4.91E-08,    0,6.52E-10,278.0,1.81E-07,6.52E-10,7.09E-10,5.94E-10,0.769,3.750E-12,4.49E-11,-3.74E-11,3.10E-12,4.43E-11,-3.81E-11,0.881,1.018,1.107,0.928,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T16:55:21+00:00,2019,8,5,17,6, 33.4,807.1, 31.3, 26.2, 33.7,6.64E-08,    0,4.00E-10,278.0,1.11E-07,4.00E-10,4.68E-10,3.33E-10,0.584,-4.770E-10,-4.37E-10,-5.17E-10,4.20E-12,4.42E-11,-3.58E-11,0.854,0.625,0.730,0.520,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T17:55:21+00:00,2019,8,5,18,7, 27.2,818.8, 40.4, 34.4, 42.3,0.00E+00,    0,6.37E-10,278.0,1.77E-07,6.37E-10,6.75E-10,5.99E-10,0.858,2.264E-10,2.54E-10,1.98E-10,1.97E-12,3.00E-11,-2.60E-11,0.922,0.995,1.054,0.936,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T18:55:21+00:00,2019,8,5,19,8, 20.3,828.3, 61.3, 59.4, 61.8,9.57E-09,    0,1.18E-09,278.0,3.27E-07,1.18E-09,1.21E-09,1.14E-09,0.924,1.166E-09,1.20E-09,1.13E-09,5.67E-14,3.62E-11,-3.60E-11,0.924,1.839,1.895,1.783,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
2019-08-05T19:55:21+00:00,2019,8,5,20,9, 18.5,831.0, 62.7, 57.7, 64.4,0.00E+00,    0,1.05E-09,278.0,2.93E-07,1.05E-09,1.08E-09,1.03E-09,0.954,8.418E-10,8.68E-10,8.16E-10,1.02E-12,2.73E-11,-2.52E-11,0.963,1.647,1.693,1.601,0000,data/avgP/NO_OS2.csv,2758,145.5,O,Northern,Open Soil,2
