timestamp,year,month,day,hour,event_number,avg_temp_degC,avg_pressure_hPa,avg_rel_humidity,ambient_humidity,final_humidity,ambient_CO2_kg,ambient_CO2_ppm,beta,duration_sec,change_in_CO2_kg,1st_order_beta_0,1st_order_beta_0_max,1st_order_beta_0_min,1st_order_r_sq,2nd_order_beta_0,2nd_order_beta_0_max,2nd_order_beta_0_min,2nd_order_beta_1,2nd_order_beta_1_max,2nd_order_beta_1_min,2nd_order_r_sq,flux_umol_m2_sec,flux_max_umol_m2_sec,flux_min_umol_m2_sec,qaqc_flags,datafile,chamber_volume_cm3,chamber_area_cm2,treatment,block,location,replicate
2000-01-08T05:55:06+00:00,2000,1,8,6,0, 31.6,821.5, 26.3, 28.6, 26.3,0.00E+00,    0,2.25E-09,293.0,6.59E-07,1.27E-09,1.36E-09,1.19E-09,0.054,2.251E-09,2.31E-09,2.19E-09,-4.43E-12,5.64E-11,-6.53E-11,0.511,3.515,3.610,3.420,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T06:55:21+00:00,2000,1,8,7,1, 38.3,821.5, 25.7, 25.7, 25.7,6.38E-08,   11,2.11E-09,278.0,5.87E-07,9.72E-10,1.06E-09,8.80E-10,-0.722,2.110E-09,2.17E-09,2.05E-09,-5.45E-12,5.29E-11,-6.38E-11,0.300,3.296,3.387,3.205,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T07:55:21+00:00,2000,1,8,8,2, 40.4,821.5, 24.3, 24.3, 24.3,1.02E-07,   29,4.48E-10,278.0,1.25E-07,4.48E-10,4.95E-10,4.01E-10,0.610,3.269E-10,3.73E-10,2.81E-10,5.80E-13,4.67E-11,-4.55E-11,0.620,0.700,0.772,0.627,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T08:55:21+00:00,2000,1,8,9,3, 45.0,821.5, 22.8, 22.8, 22.8,1.72E-07,    7,-1.60E-10,278.0,-4.45E-08,-1.60E-10,-1.01E-10,-2.19E-10,-0.588,-6.055E-10,-5.53E-10,-6.58E-10,2.13E-12,5.48E-11,-5.05E-11,-0.246,-0.250,-0.157,-0.343,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T09:55:21+00:00,2000,1,8,10,4, 39.1,821.5, 21.4, 21.2, 21.4,0.00E+00,    0,8.94E-10,278.0,2.49E-07,5.36E-10,5.76E-10,4.97E-10,0.355,8.940E-10,9.27E-10,8.61E-10,-1.71E-12,3.08E-11,-3.42E-11,0.559,1.396,1.447,1.345,0010,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T10:55:21+00:00,2000,1,8,11,5, 41.8,821.5, 18.6, 18.6, 18.6,9.99E-09,    0,1.24E-10,278.0,3.45E-08,1.24E-10,1.41E-10,1.07E-10,0.531,3.251E-11,4.87E-11,1.63E-11,4.38E-13,1.66E-11,-1.57E-11,0.582,0.194,0.220,0.167,0010,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T11:55:21+00:00,2000,1,8,12,6, 25.4,821.5, 18.5, 18.4, 18.5,2.69E-07,   69,1.91E-09,278.0,5.31E-07,1.10E-09,1.16E-09,1.03E-09,0.423,1.910E-09,1.95E-09,1.87E-09,-3.89E-12,3.75E-11,-4.53E-11,0.767,2.983,3.048,2.919,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T12:55:21+00:00,2000,1,8,13,7, 20.4,821.5, 19.8, 19.7, 19.9,3.47E-07,  100,2.32E-09,278.0,6.45E-07,1.43E-09,1.51E-09,1.36E-09,0.574,2.322E-09,2.37E-09,2.27E-09,-4.25E-12,4.67E-11,-5.52E-11,0.803,3.626,3.705,3.546,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T13:55:21+00:00,2000,1,8,14,8, 17.3,821.5, 21.5, 21.4, 21.6,1.09E-06,  259,1.84E-09,278.0,5.12E-07,1.33E-09,1.36E-09,1.29E-09,0.930,1.841E-09,1.86E-09,1.82E-09,-2.46E-12,1.81E-11,-2.30E-11,0.979,2.876,2.908,2.844,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T14:55:21+00:00,2000,1,8,15,9, 16.8,821.5, 23.6, 23.5, 23.7,8.46E-07,  223,3.01E-09,278.0,8.36E-07,1.72E-09,1.82E-09,1.61E-09,0.324,3.008E-09,3.07E-09,2.94E-09,-6.19E-12,5.70E-11,-6.94E-11,0.741,4.698,4.796,4.599,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T15:55:21+00:00,2000,1,8,16,10, 20.4,821.5, 26.3, 26.2, 26.4,6.45E-07,  153,2.08E-09,278.0,5.79E-07,1.36E-09,1.42E-09,1.31E-09,0.775,2.084E-09,2.12E-09,2.04E-09,-3.44E-12,3.59E-11,-4.28E-11,0.901,3.254,3.316,3.193,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
2000-01-08T16:55:21+00:00,2000,1,8,17,11, 20.0,821.5, 28.4, 28.2, 28.4,4.75E-07,  126,2.32E-09,278.0,6.45E-07,1.56E-09,1.62E-09,1.49E-09,0.756,2.321E-09,2.37E-09,2.28E-09,-3.66E-12,4.24E-11,-4.97E-11,0.881,3.625,3.697,3.554,0000,data/avgP/NO_UT1.csv,2758,145.5,O,Northern,Under Tree,1
