"","timestamp","year","month","day","hour","event_number","avg_temp_degC","avg_pressure_hPa","avg_rel_humidity","ambient_humidity","final_humidity","ambient_CO2_kg","ambient_CO2_ppm","beta","duration_sec","change_in_CO2_kg","X1st_order_beta_0","X1st_order_beta_0_max","X1st_order_beta_0_min","X1st_order_r_sq","X2nd_order_beta_0","X2nd_order_beta_0_max","X2nd_order_beta_0_min","X2nd_order_beta_1","X2nd_order_beta_1_max","X2nd_order_beta_1_min","X2nd_order_r_sq","flux_umol_m2_sec","flux_max_umol_m2_sec","flux_min_umol_m2_sec","qaqc_flags","datafile","chamber_volume_cm3","chamber_area_cm2","treatment","block","location","replicate","BOTID","timestamp.b","regr","R2","abs_uncertainty","rel_uncertainty","day_night_ID"
"1","2019-08-23T03:55:21+00:00",2019,8,23,4,385,14.5,825.6,84.3,82.7,84.2,1.04e-06,251,4.66e-09,278,1.3e-06,4.12e-09,4.17e-09,4.06e-09,0.986,4.662e-09,4.71e-09,4.62e-09,-2.61e-12,4.15e-11,-4.67e-11,0.991,7.28,7.349,7.211,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 04:00:00,"Q",0.991,0.069,0.00947802197802197,NA
"2","2019-08-23T04:55:21+00:00",2019,8,23,5,386,14.2,805.6,86.5,85.4,86.1,1.06e-06,256,5.36e-09,278,1.49e-06,3.53e-09,3.66e-09,3.4e-09,0.888,5.364e-09,5.43e-09,5.3e-09,-8.78e-12,5.38e-11,-7.13e-11,0.974,8.376,8.474,8.279,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 05:00:00,"Q",0.974,0.0975000000000001,0.0116404011461318,NA
"3","2019-08-23T05:55:21+00:00",2019,8,23,6,387,14.1,804.7,86.3,85.4,85.9,1.08e-06,260,3.72e-09,278,1.03e-06,3.12e-09,3.17e-09,3.07e-09,0.977,3.719e-09,3.76e-09,3.68e-09,-2.86e-12,3.41e-11,-3.98e-11,0.988,5.808,5.866,5.75,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 06:00:00,"Q",0.988,0.0579999999999998,0.00998622589531678,NA
"4","2019-08-23T06:55:21+00:00",2019,8,23,7,388,14.2,805.2,87.5,86.1,87.1,1.01e-06,264,6.54e-09,278,1.82e-06,4.24e-09,4.41e-09,4.08e-09,0.805,6.536e-09,6.62e-09,6.45e-09,-1.1e-11,7.46e-11,-9.66e-11,0.948,10.208,10.341,10.074,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 07:00:00,"Q",0.948,0.1335,0.0130779780564263,NA
"5","2019-08-23T07:55:21+00:00",2019,8,23,8,389,19,813.9,71.4,69.7,72,1.01e-06,236,1.88e-09,278,5.23e-07,1.88e-09,1.96e-09,1.8e-09,0.926,8.984e-10,9.47e-10,8.5e-10,4.71e-12,5.33e-11,-4.38e-11,0.971,2.939,3.061,2.818,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 08:00:00,"L",0.926,0.1215,0.0413405920381082,NA
"6","2019-08-23T08:55:21+00:00",2019,8,23,9,390,25.4,829.9,50.5,48.7,51.2,1.01e-06,226,5.34e-09,278,1.48e-06,3.67e-09,3.82e-09,3.52e-09,0.885,5.341e-09,5.45e-09,5.23e-09,-8.01e-12,1.03e-10,-1.19e-10,0.938,8.341,8.515,8.167,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 09:00:00,"Q",0.938,0.174,0.020860808056588,NA
"7","2019-08-23T09:55:21+00:00",2019,8,23,10,391,30.5,832.5,39.3,35,40.8,1.08e-06,241,7.39e-10,278,2.05e-07,7.39e-10,8.02e-10,6.75e-10,0.771,1.427e-10,1.94e-10,9.14e-11,2.85e-12,5.42e-11,-4.85e-11,0.849,1.153,1.252,1.055,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 10:00:00,"L",0.771,0.0985,0.085429314830876,NA
"8","2019-08-23T10:55:21+00:00",2019,8,23,11,392,33.8,857.9,37.6,31.7,37,8.89e-07,232,4.19e-09,278,1.16e-06,2.15e-09,2.32e-09,1.98e-09,-0.893,4.187e-09,4.3e-09,4.07e-09,-9.76e-12,1.07e-10,-1.26e-10,0.129,6.538,6.72,6.356,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 11:00:00,"Q",0.129,0.182,0.0278372591006424,NA
"9","2019-08-23T11:55:21+00:00",2019,8,23,12,393,32.8,846.8,34.6,29,35,8.86e-07,202,3.58e-09,278,9.96e-07,1.88e-09,2.01e-09,1.76e-09,0.61,3.583e-09,3.64e-09,3.52e-09,-8.14e-12,5.3e-11,-6.93e-11,0.901,5.596,5.692,5.501,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 12:00:00,"Q",0.901,0.0954999999999999,0.0170657612580414,NA
"10","2019-08-23T12:55:21+00:00",2019,8,23,13,394,35.4,852.3,34.4,29.7,33.6,9.17e-07,231,2.74e-09,278,7.62e-07,1.01e-09,1.13e-09,8.83e-10,-1.231,2.74e-09,2.8e-09,2.68e-09,-8.29e-12,5.63e-11,-7.29e-11,0.406,4.279,4.38,4.178,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 13:00:00,"Q",0.406,0.101,0.0236036457116149,NA
"11","2019-08-23T13:55:21+00:00",2019,8,23,14,395,37.2,847.5,29.3,22.2,30.5,9.38e-07,216,1.42e-09,278,3.95e-07,1.42e-09,1.63e-09,1.21e-09,0.648,-8.849e-10,-7.37e-10,-1.03e-09,1.1e-11,1.59e-10,-1.37e-10,0.817,2.217,2.538,1.897,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 14:00:00,"L",0.648,0.3205,0.144564727108705,NA
"12","2019-08-23T14:55:21+00:00",2019,8,23,15,396,33.4,837.3,29.1,24.7,30.2,7.54e-07,203,1.32e-09,278,3.67e-07,7.09e-10,7.77e-10,6.41e-10,0.292,1.319e-09,1.38e-09,1.26e-09,-2.92e-12,5.37e-11,-5.95e-11,0.51,2.061,2.149,1.972,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 15:00:00,"Q",0.51,0.0885,0.0429403202328967,NA
"13","2019-08-23T18:55:21+00:00",2019,8,23,19,397,18.1,825.8,79.5,76.5,79.8,9.52e-07,239,1.63e-09,278,4.53e-07,1.36e-09,1.39e-09,1.32e-09,0.958,1.63e-09,1.66e-09,1.6e-09,-1.32e-12,2.56e-11,-2.83e-11,0.97,2.546,2.588,2.504,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 19:00:00,"Q",0.97,0.042,0.016496465043205,NA
"14","2019-08-23T19:55:21+00:00",2019,8,23,20,398,16.9,827,80.1,75.5,80.9,1.05e-06,232,2.49e-09,278,6.92e-07,2.49e-09,2.53e-09,2.45e-09,0.985,2.345e-09,2.38e-09,2.31e-09,6.92e-13,3.92e-11,-3.78e-11,0.986,3.888,3.949,3.826,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 20:00:00,"L",0.985,0.0614999999999999,0.0158179012345679,NA
"15","2019-08-23T20:55:21+00:00",2019,8,23,21,399,16.5,827.8,79.3,74.5,80.1,8.79e-07,221,6.88e-09,278,1.91e-06,4.49e-09,4.65e-09,4.33e-09,0.86,6.881e-09,6.94e-09,6.82e-09,-1.14e-11,4.83e-11,-7.12e-11,0.98,10.746,10.839,10.652,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 21:00:00,"Q",0.98,0.0935000000000006,0.00870091196724368,NA
"16","2019-08-23T21:55:21+00:00",2019,8,23,22,400,16.1,828.6,80.3,74.6,81.3,8.21e-07,223,9.88e-09,278,2.75e-06,6.32e-09,6.55e-09,6.08e-09,0.833,9.878e-09,9.96e-09,9.79e-09,-1.7e-11,6.89e-11,-1.03e-10,0.978,15.426,15.561,15.292,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 22:00:00,"Q",0.978,0.1345,0.00871904576688708,NA
"17","2019-08-23T22:55:21+00:00",2019,8,23,23,401,16,829,79.3,73.6,80.8,9.62e-07,227,6.92e-09,278,1.92e-06,6.19e-09,6.26e-09,6.13e-09,0.991,6.924e-09,6.97e-09,6.88e-09,-3.49e-12,4.37e-11,-5.07e-11,0.995,10.813,10.887,10.739,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-23 23:00:00,"Q",0.995,0.0739999999999998,0.00684361416813094,NA
"18","2019-08-23T23:55:21+00:00",2019,8,24,0,402,15.9,828.9,80.7,75.7,81.3,9.59e-07,240,9.79e-09,278,2.72e-06,6.19e-09,6.43e-09,5.95e-09,0.818,9.785e-09,9.87e-09,9.7e-09,-1.72e-11,7.2e-11,-1.06e-10,0.975,15.281,15.421,15.142,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 00:00:00,"Q",0.975,0.1395,0.00912898370525489,NA
"19","2019-08-24T00:55:21+00:00",2019,8,24,1,403,15.5,829,81.7,77.8,82,1e-06,230,7.45e-09,278,2.07e-06,5.76e-09,5.88e-09,5.65e-09,0.967,7.449e-09,7.5e-09,7.4e-09,-8.07e-12,3.91e-11,-5.52e-11,0.994,11.633,11.707,11.56,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 01:00:00,"Q",0.994,0.0735000000000001,0.00631823261411503,NA
"20","2019-08-24T01:55:21+00:00",2019,8,24,2,404,15.3,828.7,83.4,80.5,83.8,1.03e-06,244,1.12e-08,278,3.11e-06,6.91e-09,7.18e-09,6.64e-09,0.827,1.119e-08,1.12e-08,1.11e-08,-2.05e-11,3.82e-11,-7.92e-11,0.992,17.473,17.565,17.382,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 02:00:00,"Q",0.992,0.0914999999999999,0.00523665083271332,NA
"21","2019-08-24T02:55:21+00:00",2019,8,24,3,405,14.9,829.1,85.4,83.6,85.4,1.1e-06,250,8.43e-09,278,2.34e-06,6.86e-09,6.97e-09,6.74e-09,0.978,8.431e-09,8.5e-09,8.36e-09,-7.55e-12,6.02e-11,-7.53e-11,0.993,13.167,13.273,13.061,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 03:00:00,"Q",0.993,0.106,0.00805042910306067,NA
"22","2019-08-24T03:55:21+00:00",2019,8,24,4,406,14.8,826.5,87.4,86.4,87,9.72e-07,245,9.4e-09,278,2.61e-06,7.07e-09,7.24e-09,6.9e-09,0.955,9.401e-09,9.49e-09,9.31e-09,-1.12e-11,7.84e-11,-1.01e-10,0.987,14.681,14.821,14.541,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 04:00:00,"Q",0.987,0.14,0.00953613514065797,NA
"23","2019-08-24T04:55:21+00:00",2019,8,24,5,407,14.7,826.9,86.8,86.4,86.2,1.03e-06,256,5.34e-09,278,1.49e-06,4.89e-09,4.95e-09,4.83e-09,0.988,5.344e-09,5.4e-09,5.29e-09,-2.15e-12,5.04e-11,-5.47e-11,0.991,8.346,8.428,8.264,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 05:00:00,"Q",0.991,0.0820000000000007,0.00982506589983234,NA
"24","2019-08-24T05:55:21+00:00",2019,8,24,6,408,14.5,821.9,86.9,86.6,86.3,1.1e-06,261,4.96e-09,278,1.38e-06,4.04e-09,4.11e-09,3.96e-09,0.969,4.959e-09,5.01e-09,4.91e-09,-4.42e-12,4.7e-11,-5.58e-11,0.986,7.744,7.825,7.664,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 06:00:00,"Q",0.986,0.0805000000000002,0.0103951446280992,NA
"25","2019-08-24T06:55:21+00:00",2019,8,24,7,409,14.4,804.4,86.3,85.5,85.9,1.03e-06,260,4.91e-09,278,1.37e-06,3.97e-09,4.05e-09,3.9e-09,0.968,4.911e-09,4.96e-09,4.86e-09,-4.5e-12,4.18e-11,-5.08e-11,0.988,7.669,7.741,7.596,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 07:00:00,"Q",0.988,0.0724999999999998,0.00945364454296516,NA
"26","2019-08-24T07:55:21+00:00",2019,8,24,8,410,18.4,812.3,77.9,76,78.2,9.24e-07,244,7.11e-09,278,1.98e-06,6.02e-09,6.13e-09,5.92e-09,0.977,7.109e-09,7.19e-09,7.02e-09,-5.19e-12,8.06e-11,-9.1e-11,0.986,11.102,11.236,10.968,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 08:00:00,"Q",0.986,0.134,0.012069897315799,NA
"27","2019-08-24T08:55:21+00:00",2019,8,24,9,411,24.2,828.7,57.7,55.3,58.2,8.65e-07,237,8.62e-09,278,2.4e-06,5.52e-09,5.73e-09,5.3e-09,0.865,8.623e-09,8.72e-09,8.53e-09,-1.49e-11,8.26e-11,-1.12e-10,0.972,13.467,13.619,13.315,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 09:00:00,"Q",0.972,0.152,0.0112868493354125,NA
"28","2019-08-24T09:55:21+00:00",2019,8,24,10,412,28.8,828.1,45.9,40.4,46.4,8.66e-07,199,6.73e-09,278,1.87e-06,4.98e-09,5.11e-09,4.85e-09,0.946,6.729e-09,6.8e-09,6.66e-09,-8.38e-12,5.84e-11,-7.52e-11,0.985,10.509,10.614,10.405,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 10:00:00,"Q",0.985,0.104500000000001,0.00994385764582745,NA
"29","2019-08-24T10:55:21+00:00",2019,8,24,11,413,32,822.9,43.9,33.7,44.1,8.3e-07,202,4.96e-09,278,1.38e-06,4.56e-09,4.65e-09,4.47e-09,0.971,4.957e-09,5.04e-09,4.87e-09,-1.91e-12,8.35e-11,-8.73e-11,0.974,7.741,7.874,7.607,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 11:00:00,"Q",0.974,0.1335,0.0172458338715928,NA
"30","2019-08-24T11:55:21+00:00",2019,8,24,12,414,34,820.9,40.9,34.1,40.9,8.36e-07,211,6.93e-09,278,1.93e-06,4.44e-09,4.61e-09,4.28e-09,0.848,6.932e-09,7e-09,6.87e-09,-1.19e-11,5.39e-11,-7.77e-11,0.977,10.826,10.929,10.723,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 12:00:00,"Q",0.977,0.103,0.00951413264363567,NA
"31","2019-08-24T12:55:21+00:00",2019,8,24,13,415,37.6,818.3,34.9,28.1,35.1,9e-07,212,5.63e-09,278,1.56e-06,2.7e-09,2.88e-09,2.51e-09,0.261,5.627e-09,5.68e-09,5.57e-09,-1.4e-11,4.02e-11,-6.83e-11,0.939,8.788,8.872,8.703,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 13:00:00,"Q",0.939,0.0845000000000002,0.00961538461538464,NA
"32","2019-08-24T13:55:21+00:00",2019,8,24,14,416,33.8,816.9,33.7,27.5,35.3,5.43e-07,171,9.16e-09,278,2.55e-06,5.5e-09,5.79e-09,5.2e-09,0.524,9.157e-09,9.34e-09,8.97e-09,-1.75e-11,1.67e-10,-2.02e-10,0.811,14.3,14.588,14.013,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 14:00:00,"Q",0.811,0.2875,0.0201048951048951,NA
"33","2019-08-24T14:55:21+00:00",2019,8,24,15,417,31.1,817.2,36.1,30.1,38.4,6.88e-07,184,1.07e-08,278,2.98e-06,6.24e-09,6.55e-09,5.94e-09,0.719,1.072e-08,1.08e-08,1.06e-08,-2.14e-11,1.01e-10,-1.43e-10,0.954,16.737,16.928,16.547,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 15:00:00,"Q",0.954,0.1905,0.0113819680946406,NA
"34","2019-08-24T15:55:21+00:00",2019,8,24,16,418,24.6,821.7,51.5,47.9,52.2,7.34e-07,196,1.74e-09,278,4.83e-07,1.2e-09,1.25e-09,1.15e-09,0.796,1.737e-09,1.78e-09,1.7e-09,-2.57e-12,3.62e-11,-4.13e-11,0.882,2.712,2.773,2.652,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 16:00:00,"Q",0.882,0.0605,0.0223082595870206,NA
"35","2019-08-24T16:55:21+00:00",2019,8,24,17,419,22.8,822.8,60,51.9,61,7.97e-07,189,1.07e-09,278,2.99e-07,8.01e-10,8.36e-10,7.66e-10,0.84,1.074e-09,1.1e-09,1.04e-09,-1.31e-12,2.9e-11,-3.16e-11,0.878,1.677,1.724,1.63,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 17:00:00,"Q",0.878,0.047,0.0280262373285629,NA
"36","2019-08-24T17:55:21+00:00",2019,8,24,18,420,23,823,55.8,53.7,57.1,7.19e-07,190,3.18e-09,278,8.85e-07,2.12e-09,2.21e-09,2.04e-09,0.814,3.182e-09,3.23e-09,3.13e-09,-5.06e-12,4.78e-11,-5.79e-11,0.927,4.969,5.052,4.887,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 18:00:00,"Q",0.927,0.0825,0.0166029382169451,NA
"37","2019-08-24T18:55:21+00:00",2019,8,24,19,421,20,825.4,66.5,63.4,67.1,7.57e-07,170,2.3e-09,278,6.38e-07,1.8e-09,1.84e-09,1.76e-09,0.963,2.296e-09,2.32e-09,2.27e-09,-2.37e-12,2.11e-11,-2.59e-11,0.986,3.586,3.622,3.549,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 19:00:00,"Q",0.986,0.0365,0.0101784718349135,NA
"38","2019-08-24T19:55:21+00:00",2019,8,24,20,422,18,827.3,73.4,71.3,74,8.88e-07,206,4.23e-09,278,1.18e-06,4.23e-09,4.29e-09,4.17e-09,0.987,3.808e-09,3.86e-09,3.76e-09,2.02e-12,5.38e-11,-4.98e-11,0.99,6.605,6.696,6.515,0,"data/avgP/NMWC_OS1.csv",2758,145.5,"MWC","Northern","Open Soil",1,"MWC   Open Soil   1",2019-08-24 20:00:00,"L",0.987,0.0905,0.0137017411052233,NA
